sweep_param,outcome,swept_arm,arm,estimator,sweep_value,power,arm_soc_outcome_ate_pct,arm_env_outcome_ate,scenario_soc_outcome_ate_pct,is_swept
env_outcome_ate_single,env_outcome,T1,T1,ITT,5,1,1.05,5,5,TRUE
env_outcome_ate_single,env_outcome,T1,T1,ITT,10,1,1.05,10,10,TRUE
env_outcome_ate_single,env_outcome,T1,T1,ITT,15,1,1.05,15,15,TRUE
env_outcome_ate_single,env_outcome,T1,T1,ITT,20,1,1.05,20,20,TRUE
env_outcome_ate_single,env_outcome,T1,T1,ITT,25,1,1.05,25,25,TRUE
env_outcome_ate_single,env_outcome,T1,T1,ITT,30,1,1.05,30,30,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,5,1,1.05,5,5,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,10,1,1.05,10,10,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,15,1,1.05,15,15,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,20,1,1.05,20,20,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,25,1,1.05,25,25,TRUE
env_outcome_ate_single,env_outcome,T1,T1,TOT,30,1,1.05,30,30,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,5,0.6966666666666667,1.05,5,5,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,10,0.6633333333333333,1.05,10,10,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,15,0.68,1.05,15,15,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,20,0.6966666666666667,1.05,20,20,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,25,0.7566666666666667,1.05,25,25,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,ITT,30,0.7033333333333334,1.05,30,30,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,5,0.7033333333333334,1.05,5,5,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,10,0.67,1.05,10,10,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,15,0.68,1.05,15,15,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,20,0.7033333333333334,1.05,20,20,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,25,0.76,1.05,25,25,TRUE
env_outcome_ate_single,soc_outcome,T1,T1,TOT,30,0.7033333333333334,1.05,30,30,TRUE
